,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
25,BANKNIFTY,2021-10-01,2021-12-30,CE,45000,0.0,0.0,0.0,731.6,0.0,474.1,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
26,BANKNIFTY,2021-10-01,2021-12-30,CE,43500,0.0,0.0,0.0,1509.2,0.0,686.45,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
27,BANKNIFTY,2021-10-01,2021-12-30,CE,42000,0.0,0.0,0.0,230.0,230.0,977.2,0,0.0,0.0,25,0,-,37605.9,0.2465753424657534
28,BANKNIFTY,2021-10-01,2021-12-30,CE,41400,0.0,0.0,0.0,1198.5,0.0,1118.4,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
29,BANKNIFTY,2021-10-01,2021-12-30,CE,41000,500.1,500.1,500.0,500.0,500.0,1220.4,2,20.75,0.25,50,50,-,37605.9,0.2465753424657534
30,BANKNIFTY,2021-10-01,2021-12-30,CE,41100,0.0,0.0,0.0,1279.1,0.0,1193.75,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
31,BANKNIFTY,2021-10-01,2021-12-30,CE,41200,0.0,0.0,0.0,1251.75,0.0,1167.6,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
32,BANKNIFTY,2021-10-01,2021-12-30,CE,41300,0.0,0.0,0.0,1224.9,0.0,1141.9,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
33,BANKNIFTY,2021-10-01,2021-12-30,CE,40700,0.0,0.0,0.0,1393.4,0.0,1303.2,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
34,BANKNIFTY,2021-10-01,2021-12-30,CE,40800,0.0,0.0,0.0,1364.1,0.0,1275.1,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
35,BANKNIFTY,2021-10-01,2021-12-30,CE,40900,0.0,0.0,0.0,1335.3,0.0,1247.5,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
36,BANKNIFTY,2021-10-01,2021-12-30,CE,40300,0.0,0.0,0.0,1515.8,0.0,1420.65,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
37,BANKNIFTY,2021-10-01,2021-12-30,CE,40400,0.0,0.0,0.0,1484.45,0.0,1390.55,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
38,BANKNIFTY,2021-10-01,2021-12-30,CE,40500,580.05,581.05,560.05,560.1,560.1,560.1,6,61.61,0.86,150,125,-,37605.9,0.2465753424657534
39,BANKNIFTY,2021-10-01,2021-12-30,CE,40600,0.0,0.0,0.0,1423.25,0.0,1331.8,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
40,BANKNIFTY,2021-10-01,2021-12-30,CE,39900,0.0,0.0,0.0,1646.6,0.0,1546.45,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
41,BANKNIFTY,2021-10-01,2021-12-30,CE,40000,650.0,650.05,650.0,650.05,650.05,650.05,4,40.65,0.65,100,100,-,37605.9,0.2465753424657534
42,BANKNIFTY,2021-10-01,2021-12-30,CE,40100,0.0,0.0,0.0,1580.15,0.0,1482.5,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
43,BANKNIFTY,2021-10-01,2021-12-30,CE,40200,0.0,0.0,0.0,1547.7,0.0,1451.3,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
44,BANKNIFTY,2021-10-01,2021-12-30,CE,39500,0.0,0.0,0.0,1786.15,0.0,1680.9,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
45,BANKNIFTY,2021-10-01,2021-12-30,CE,39600,0.0,0.0,0.0,1750.45,0.0,1646.45,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
46,BANKNIFTY,2021-10-01,2021-12-30,CE,39700,0.0,0.0,0.0,1715.25,0.0,1612.6,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
47,BANKNIFTY,2021-10-01,2021-12-30,CE,39800,0.0,0.0,0.0,1680.65,0.0,1579.25,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
48,BANKNIFTY,2021-10-01,2021-12-30,CE,39100,1934.7,1934.85,1934.7,1934.85,1934.85,1824.35,4,41.03,1.93,100,100,-,37605.9,0.2465753424657534
49,BANKNIFTY,2021-10-01,2021-12-30,CE,39200,0.0,0.0,0.0,1896.7,0.0,1787.65,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
50,BANKNIFTY,2021-10-01,2021-12-30,CE,39300,0.0,0.0,0.0,1859.25,0.0,1751.5,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
51,BANKNIFTY,2021-10-01,2021-12-30,CE,39400,0.0,0.0,0.0,1822.4,0.0,1715.95,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
52,BANKNIFTY,2021-10-01,2021-12-30,CE,38800,0.0,0.0,0.0,2052.2,0.0,1938.0,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
53,BANKNIFTY,2021-10-01,2021-12-30,CE,38900,0.0,0.0,0.0,2012.45,0.0,1899.55,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
54,BANKNIFTY,2021-10-01,2021-12-30,CE,39000,899.2,1042.0,899.2,950.0,950.0,950.0,35,349.62,8.37,800,800,-,37605.9,0.2465753424657534
55,BANKNIFTY,2021-10-01,2021-12-30,CE,38400,0.0,0.0,0.0,2217.15,0.0,2097.85,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
56,BANKNIFTY,2021-10-01,2021-12-30,CE,38500,0.0,0.0,0.0,2175.0,0.0,2057.0,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
57,BANKNIFTY,2021-10-01,2021-12-30,CE,38600,0.0,0.0,0.0,2133.5,0.0,2016.75,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
